dataset,tokenizer,tokenizer_family,vocab_size,avg_sequence_length,oov_rate,compression_ratio,compression_vs_word,final_validation_perplexity,avg_epoch_time_seconds
enwik8,word,word,50000.0,193.9964,3.407692101502915,0.2095621301672877,1.0,98.02269578756538,601.9651008096666
enwik8,char,char,52.0,925.7226,,1.0,4.771854529259306,,
enwik8,bpe_1000,bpe,1000.0,332.482,,0.3591594285372314,1.7138565457915713,,
enwik8,bpe_5000,bpe,5000.0,247.6436,,0.267513831897374,1.2765370903789968,,
enwik8,bpe_10000,bpe,10000.0,224.679,,0.2427066164313154,1.1581606668989735,,
enwik8,bpe_30000,bpe,30000.0,202.8276,,0.2191019210290426,1.0455224942318517,,
one_billion,word,word,50000.0,26.670908404499063,1.31384830524917,0.19651419965031786,1.0,580.1626532641274,44.04605962666657
one_billion,char,char,52.0,135.72000624869818,,1.0,5.088690800865405,,
one_billion,bpe_1000,bpe,1000.0,45.25000650906061,,0.3334070470505497,1.6966053732698312,,
one_billion,bpe_5000,bpe,5000.0,32.98559544886482,,0.24304151142183736,1.236763103400728,,
one_billion,bpe_10000,bpe,10000.0,30.004380597792128,,0.22107559104301122,1.1249853264364533,,
one_billion,bpe_30000,bpe,30000.0,27.635414496979795,,0.20362078709560089,1.0361632261583573,,
text8,word,word,50000.0,200.0,2.7730479774223897,0.1697671869812683,1.0,231.2348217752213,522.8678614660001
text8,char,char,31.0,1178.0839604891817,,1.0,5.8904198024459085,,
text8,bpe_1000,bpe,1000.0,367.71190028222014,,0.31212707465224576,1.8385595014111007,,
text8,bpe_5000,bpe,5000.0,267.0214016933208,,0.22665736114635174,1.335107008466604,,
text8,bpe_10000,bpe,10000.0,239.67850423330196,,0.20344772721782842,1.1983925211665098,,
text8,bpe_30000,bpe,30000.0,214.7123706491063,,0.18225557587589108,1.0735618532455315,,
wikitext103,word,word,50000.0,82.89830508474576,2.764761598771588,0.18988125043576368,1.0,79.48807744847659,3508.0424283736666
wikitext103,char,char,52.0,436.5797301971636,,1.0,5.266449413541741,,
wikitext103,bpe_1000,bpe,1000.0,146.6727775856105,,0.33595874347939075,1.7693097275712575,,
wikitext103,bpe_5000,bpe,5000.0,108.18747838118298,,0.24780692024415443,1.305062609791412,,
wikitext103,bpe_10000,bpe,10000.0,97.89484607402282,,0.22423131286881454,1.1809028661556629,,
wikitext103,bpe_30000,bpe,30000.0,88.8294707713594,,0.20346677737705127,1.0715474903925994,,
